feature,importance_mean,importance_std
year,0.17051390706912856,0.04800858926641196
mileage,0.10563545340429951,0.02571208912436252
condition_enc,0.007818555669342354,0.0043219503790535956
seller_type_enc,0.001947431388365617,0.0016920749679042934
transmission_enc,0.00033305752868335593,0.00016793172671620866
fuel_type_enc,0.00015891915399801615,8.608657375859325e-05
color_enc,4.045439463179479e-05,0.0002475764608393821
title_status_enc,0.0,0.0
